url,page_type,primary_audience,primary_intent,primary_keyword_candidate,supporting_keywords,proposed_seo_title,proposed_title_chars,proposed_meta_description,proposed_meta_chars,keyword_metrics,notes
/,home,Founder / MD / Ops / Marketing Director,了解 ADWire 做甚麼、有咩能力,香港 系統開發 AI 數碼方案 公司,"軟件開發 香港, AI 應用開發, 工作流程自動化, SEO 公司 香港, GEO 優化",ADWire｜軟件開發・AI 應用・SEO 增長方案,26,ADWire 提供企業網站及系統開發、AI 應用與工作流程自動化，以及 SEO／GEO 搜尋優化。由需求分析到上線後的持續改善，協助香港企業處理實際營運與增長問題。,82,Not available,移除『香港首選』；品牌尾綴交由 layout template 統一補上
/services/,service-index,按需求找供應商的企業買家,比較 ADWire 四大服務範圍,企業數碼方案 服務比較 香港,"系統開發, AI 自動化, SEO, 數碼營銷",服務範疇｜軟件開發・AI 自動化・SEO 與數碼營銷,26,四大服務線：Software Development、AI & Automation、SEO & GEO、Digital Marketing。每項列出適用對象、實際交付內容及對應服務頁，方便按需求快速判斷。,103,Not available,由營銷漏斗改為四大產品線；保留全部舊服務連結
/services/system/,service,Founder / IT Manager,由 Idea 開始做網站、系統或 App,系統開發 公司 香港,"客製化系統, CRM 系統, ERP 開發, App 開發, MVP 開發, API 整合",企業系統與 App 開發｜網站・CRM・MVP｜ADWire,30,企業網站、Web App、CRM／ERP 相關系統、手機 App 及 MVP 開發。由需求整理、Prototype、開發、API 整合到 QA／UAT、部署、文件及上線後維護，範圍與交付清晰。,96,Not available,加入交付清單、Scope & Ownership FAQ；移除『銀行級』
/services/web/,service,市場部 / 電商負責人,做一個有轉換、有 SEO 基礎的網站,網頁設計 公司 香港,"網站改版, 電商網站, 高轉換 Landing Page, SEO 網站架構",網頁設計及電商網站開發｜企業官網・Landing Page,29,企業官網、電商網站及高轉換 Landing Page 開發。按項目評估 CMS、WordPress／Shopify 或 Next.js／React，並兼顧載入速度、轉換結構及搜尋可見度。,93,Not available,移除『所有網站都用 Next.js』同『24/7 自動成交引擎』
/services/ai/,service,Founder / Ops / IT Manager,將 AI 落地到現有業務流程,AI 應用開發 香港 企業,"企業 AI 方案, RAG 知識庫, AI Agent, AI 客服, 私有化部署, AI 系統整合",企業 AI 應用開發與系統整合｜ADWire,22,企業 AI 應用、AI Agent、RAG 知識庫、文件處理及系統整合。由使用場景、資料可用性、權限設計到 Prototype、測試及上線後監控，同時說明風險與人工覆核安排。,87,Not available,移除零外洩、1/10 成本、保證回本；ROI 工具加公式及免責
/services/automation/,service,Ops Manager / COO,減少重複人手工序、打通現有系統,工作流程自動化 香港,"企業流程自動化, API 整合, CRM 自動化, WhatsApp 自動化, 報價流程自動化",企業工作流程自動化｜減少重複工序，連接現有系統,23,將 Email、表格、Excel、報價、訂單及客戶跟進等重複工序自動化，並與 CRM／ERP 或現有系統整合。包含人工覆核、失敗重試、錯誤通知及監控日誌。,77,Not available,全頁重構（現時僅 948 字）；保留 WhatsApp 作其中一個場景
/services/seo/,service,Marketing Director / 老闆,找 SEO 公司，想知交付、價錢、幾時見效,SEO 公司 香港,"GEO 優化, AI 搜尋可見度, 技術 SEO, 關鍵字研究, SEO 收費",SEO + GEO 企業搜尋增長方案｜價格與交付清晰,26,"SEO 打好 Google／Bing 自然搜尋基礎，GEO 將搜尋曝光延伸到 AI 問答搜尋。方案由每月 HK$5,800 起，列明關鍵字數量、文章篇數、頁面優化數量及每月報告。",89,Not available,依已批准 PDF 更新價目；移除『無限頁面優化』及 AI 推薦保證
/services/ads/,service,Marketing Director / 老闆,想知道廣告點計費、成效如何量度,廣告投放 公司 香港,"Google Ads 代操, Meta 廣告, ROAS 優化, 廣告代操收費",成效廣告投放｜Google・Meta 廣告代操與 ROAS 優化,32,Google、Meta、YouTube 及 LinkedIn 廣告策略、素材測試與持續優化。列明服務費與媒體預算分開計算，並說明成效量度方式及建議最低測試預算。,80,Not available,成效數字入 Register 並標明期間；方案呈現方式統一
/services/social/,service,品牌 / 市場部,Instagram／Facebook／小紅書代營運,社交媒體代管 香港,"IG 代營運, 小紅書 營運, Content Calendar, 社群管理",社交媒體代管服務｜IG・Facebook・小紅書營運,26,內容企劃、視覺設計、社群互動及數據分析的社交媒體代管服務，覆蓋 Instagram、Facebook、LinkedIn、小紅書及 Threads，並提供內容日曆及每月成效報告。,88,Not available,成效數字入 Register；小紅書一節避免暗示特殊資格
/services/kol/,service,品牌 / 市場部,找 KOL 做推廣，想知道點選人、點量度,KOL 網紅營銷 香港,"微網紅 種草, KOL 配對, 網紅推廣 收費, 小紅書 KOL",KOL 網紅營銷｜數據驅動配對與成效追蹤,20,按品牌定位、受眾及預算配對 KOL 層級，由篩選、內容監修到觸及、互動及轉化追蹤。清楚說明不同層級 KOL 的分工與適用場景。,63,Not available,統一 KOL 資源庫數字口徑
/services/video/,service,品牌 / 市場部,拍 Reels／宣傳片，想知道流程、片量、收費,短視頻製作 香港,"Reels 製作, 企業宣傳片, 短片拍攝, TikTok 影片",短視頻製作｜Reels・企業宣傳片・產品廣告,22,短視頻、企業宣傳片、產品廣告及活動紀錄的策劃、拍攝及後期製作。列明腳本、拍攝日數、剪輯版本、字幕、平台比例及交片時間。,59,Not available,統一用『短視頻』；清除『短影音』；補交付清單
/services/production/,service,品牌 / 市場部,商業攝影／企業影片製作,商業攝影 香港,"企業宣傳片, 產品攝影, 活動錄影, 航拍",商業攝影與影片製作｜企業宣傳片・產品攝影,20,企業宣傳片、活動錄影、商業攝影、訪問及 Podcast 製作。列明拍攝時數、成品數量、修圖張數、交檔格式及使用權範圍。,59,Not available,補交付清單及使用權說明；作品連結對應案例頁
/portfolio/,portfolio-index,正在評估供應商的企業,看 ADWire 實際做過咩技術項目,香港 系統開發 案例,"數碼轉型 案例, CRM 案例, SEO 案例, AI 案例",成功案例｜系統開發・AI 自動化・SEO 增長,23,精選案例涵蓋系統及 CRM 開發、AI 與工作流程自動化、SEO／GEO 及整合數碼增長項目。每個案例列明 ADWire 的實際工作範圍、時期及已核實的技術與成效。,82,Not available,標明『精選案例』；數字統一；逐個核實授權
/blog/,blog-index,研究階段的買家,找實用做法與判斷標準,香港 SEO GEO 教學 文章,"系統開發 指南, AI 自動化 流程, 廣告投放 教學",增長洞察｜系統・AI・SEO 實戰指南,19,以業務問題為中心的文章：SEO 與 GEO 做法、系統開發與 MVP 流程、AI 自動化的前置準備、廣告投放與轉換優化。附作者背景、更新日期及引用來源。,76,Not available,模板結構升級；舊文更新為 2026 版
/about/,about,Procurement / 決策者,確認公司是否可信、能否合作,ADWire Agency 香港 公司,"數碼方案 公司 團隊, 合作方式, 交付流程",關於 ADWire｜軟件、AI 與數碼增長團隊,23,ADWire 由精簡核心團隊及按項目協作的專業人才組成，結合營銷、創意、網站、系統及 AI 應用經驗。列明公司營運年期、合作方式、交付流程及聯絡資料。,75,Not available,公司年期與個人經驗分開；移除無證據排名及競品對比
/contact/,contact,已決定要查詢的企業,提交項目需求並獲得合適回覆,聯絡 ADWire 查詢項目,"系統開發 查詢, AI 方案 查詢, SEO 查詢, 報價查詢",聯絡我們｜提交你的項目需求,13,填寫服務類別、項目需求、預算區間及預計開始時間，我們會按經驗安排合適同事跟進。WhatsApp +852 9586 1027，電郵 info@adwire.com.hk。,85,Not available,移除 hr@；表單加入分流欄位；移除未核實承諾
