url,page_type,status,final_url,title,title_chars,brand_suffix_duplicated,meta_description,meta_chars,canonical,lang,h1,h1_count,h2_count,body_text_chars,cjk_chars,internal_links,jsonld_blocks,images,images_missing_alt,recommended_action,notes
https://adwire.com.hk/,home,200,https://adwire.com.hk/,ADWire Agency | 香港首選 AI 驅動 MarTech 代理 | AI Marketing & Growth,61,no,ADWire Agency 是香港領先的 AI MarTech 代理商，專注 KOL 網紅營銷、短視頻製作、SEO/GEO 優化及成效廣告。服務超過500家香港企業，平均ROI提升328%。立即免費諮詢。We provide AI-driven MarTech solutions for Hong Kong and GBA enterprises.,175,https://adwire.com.hk/,zh-HK,AI 驅動營銷精準引爆業績增長,1,10,10140,4511,97,6,13,0,UPDATE (P0/P1),/
https://adwire.com.hk/services/,service:services,200,https://adwire.com.hk/services/,服務總覽 | ADWire Agency - 全方位數碼營銷解決方案 | Digital Marketing Services | ADWire Agency,79,YES,"ADWire 提供一站式 MarTech 服務：KOL 網紅營銷、短視頻製作、成效廣告投放、SEO/GEO 優化、以及自動化系統開發。助你突破增長瓶頸。We offer comprehensive MarTech solutions including KOL marketing, video production, performance ads, SEO/GEO, and automation.",201,https://adwire.com.hk/services/,zh-HK,數碼營銷不只是一場燒錢遊戲而是一套精密的獲利系統,1,7,3521,1865,76,5,4,0,UPDATE (P0/P1),/services/
https://adwire.com.hk/portfolio/,portfolio-index,200,https://adwire.com.hk/portfolio/,成功案例 Portfolio | ADWire Agency — 120+ 真實數據案例 | ADWire Agency,60,YES,瀏覽 ADWire 120+ 個香港成功案例：KOL 爆紅短片、SEO 霸榜、自動化系統、高 ROAS 廣告。每個數字都是真實成果，拒絕紙上談兵。,73,https://adwire.com.hk/portfolio/,zh-HK,每個數字都是真實成果,1,3,3753,1627,84,6,20,0,UPDATE + VERIFY (P1),/portfolio/
https://adwire.com.hk/blog/,blog-index,200,https://adwire.com.hk/blog/,增長洞察 Blog | MarTech、SEO、KOL 及 AI 營銷策略 | ADWire Agency,53,no,ADWire Agency 分享最前沿的 MarTech 趨勢、AI 工具應用、SEO/GEO 策略、KOL 網紅營銷及廣告投放乾貨。助香港中小企掌握流量密碼，提升業務增長。,87,https://adwire.com.hk/blog/,zh-HK,增長洞察 Growth Insights,1,10,3518,1533,99,7,15,0,UPDATE TEMPLATE + REFRESH (P0/P1),/blog/
https://adwire.com.hk/about/,about,200,https://adwire.com.hk/about/,關於 ADWire Agency | 香港 MarTech 數碼營銷代理 | SEO + AI 全棧團隊 | ADWire Agency,68,YES,ADWire Agency 是香港領先的 MarTech 代理商，結合 10 年 SEO 專業經驗與全棧開發技術。提供 KOL 網紅營銷、SEO/GEO 優化、AI 自動化、成效廣告及短視頻製作服務。辦公室位於葵芳新都會廣場。,113,https://adwire.com.hk/about/,zh-HK,重新定義數碼營銷Marketing Meets Technology,1,8,3106,1450,71,8,4,0,UPDATE (P0/P1),/about/
https://adwire.com.hk/contact/,contact,200,https://adwire.com.hk/contact/,聯絡我們 (Contact) | ADWire Agency - 免費營銷諮詢 | ADWire Agency,55,YES,立即預約 15 分鐘免費諮詢。無論是 KOL 營銷、SEO 優化還是系統開發，ADWire 團隊都準備好為你提供專業建議。,61,https://adwire.com.hk/contact/,zh-HK,聯絡我們.,1,2,1776,855,67,5,4,0,UPDATE (P0/P1),/contact/
https://adwire.com.hk/services/kol/,service:kol,200,https://adwire.com.hk/services/kol/,KOL 網紅營銷服務 | ADWire Agency 香港 | Influencer Marketing 數據驅動配對 | ADWire Agency,75,YES,ADWire Agency 提供香港一站式 KOL 網紅營銷服務。涵蓋 Instagram、Facebook、小紅書及 Threads 網紅配對，從 Nano KOL 種草到 Mega KOL 品牌大使，AI 粉絲質量分析，確保每分預算轉化為真實銷量。,126,https://adwire.com.hk/services/kol/,zh-HK,引爆社群口碑將流量轉化為銷量,1,10,4868,2165,73,8,11,0,UPDATE (P0/P1),/services/kol/
https://adwire.com.hk/services/video/,service:video,200,https://adwire.com.hk/services/video/,"專業短影音製作與影片行銷服務 | Reels, TikTok & 企業宣傳片 | ADWire | ADWire Agency",63,no,ADWire 提供一站式影片製作服務，專精於 IG Reels、TikTok 短影音、企業形象片及產品廣告。從腳本策劃、專業拍攝到後期剪輯，助您抓住黃金 3 秒，引爆流量與轉換。,89,https://adwire.com.hk/services/video/,zh-HK,抓住 黃金 3 秒引爆病毒式傳播,1,7,2639,1370,68,7,4,0,UPDATE (P0/P1),/services/video/
https://adwire.com.hk/services/production/,service:production,200,https://adwire.com.hk/services/production/,商業攝影與製作 (Production) | ADWire Agency - 電影級質感 | ADWire Agency,60,YES,提供企業宣傳片、活動錄影、商業攝影及後期製作服務。以電影級器材與專業團隊，為品牌打造無可取代的專業形象。,52,https://adwire.com.hk/services/production/,zh-HK,用鏡頭說故事定格品牌高光時刻,1,7,2733,1346,68,5,4,0,UPDATE (P0/P1),/services/production/
https://adwire.com.hk/services/social/,service:social,200,https://adwire.com.hk/services/social/,社交媒體代管服務 | ADWire Agency 香港 | IG / Facebook / 小紅書 代營運 | ADWire Agency,69,YES,"ADWire Agency 提供香港一站式社交媒體代管服務，涵蓋 Instagram、Facebook、LinkedIn、小紅書代營運。由內容企劃、視覺設計、Reels 短片製作到社群互動管理，基礎方案 HK$8,000/月起，助你將流量轉化為真實生意。",127,https://adwire.com.hk/services/social/,zh-HK,讓每一個 Post都成為你的銷售員,1,10,5550,2925,73,8,4,0,UPDATE (P0/P1),/services/social/
